n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
128,2,6,0.013625,5.395973,22.921875,3.664000,4.133731,32768,14336,0.006111,0.003939,0.000000230,0.000000245
128,2,8,0.013362,5.855361,25.011212,3.900800,4.365007,32768,16384,0.005661,0.004263,0.000000235,0.000000244
128,2,10,0.013208,5.525889,23.582838,3.717759,4.187927,32768,18432,0.005999,0.004995,0.000000211,0.000000226
128,2,12,0.011677,5.161984,22.065538,3.541760,3.977807,32768,20480,0.006351,0.005788,0.000000223,0.000000240
128,2,14,0.013498,5.856513,24.417912,3.926024,4.423284,32768,22528,0.005693,0.005787,0.000000196,0.000000230
128,2,16,0.013472,5.853440,24.730875,4.117890,4.606924,32768,24576,0.005682,0.006047,0.000000237,0.000000262
128,2,18,0.013845,5.618303,24.210175,3.863679,4.357815,32768,26624,0.005905,0.006975,0.000000212,0.000000237
128,4,6,0.011476,5.158015,21.628438,3.602301,4.679784,32768,14336,0.006356,0.003984,0.000000224,0.000000239
128,4,8,0.013127,5.528191,23.547638,3.929467,5.045024,32768,18432,0.006003,0.004750,0.000000216,0.000000230
128,4,10,0.011107,5.137024,21.520763,3.597825,4.705400,32768,22528,0.006381,0.006269,0.000000191,0.000000213
128,4,12,0.014100,5.271809,22.317312,3.800714,4.930331,32768,26624,0.006268,0.007048,0.000000225,0.000000243
128,4,14,0.012400,5.205504,22.358150,3.635590,4.761393,32768,30720,0.006298,0.008455,0.000000224,0.000000243
128,4,16,0.013697,5.451136,24.401663,3.840772,4.517552,32768,28672,0.006068,0.007506,0.000000220,0.000000245
128,4,18,0.012206,5.126526,21.772938,3.625476,4.320280,32768,31744,0.006394,0.008768,0.000000232,0.000000256
128,6,6,0.014457,5.484929,23.133713,3.939973,5.889741,32768,16384,0.006043,0.004217,0.000000214,0.000000225
128,6,8,0.012702,5.716864,23.651962,3.910396,5.050950,32768,18432,0.005856,0.004767,0.000000223,0.000000244
128,6,10,0.012413,5.689213,23.696513,4.001535,5.197799,32768,22528,0.005856,0.005722,0.000000215,0.000000232
128,6,12,0.015195,5.778177,24.823162,4.022267,5.260456,32768,26624,0.005758,0.006697,0.000000227,0.000000255
128,6,14,0.013629,5.456000,23.990913,3.959809,5.140367,32768,30720,0.006082,0.007841,0.000000222,0.000000231
128,6,16,0.013398,5.448704,23.405675,3.718145,4.389222,32768,28672,0.006057,0.007766,0.000000220,0.000000237
128,6,18,0.013219,5.690112,24.135938,3.954300,4.708876,32768,31744,0.005846,0.008136,0.000000234,0.000000262
128,8,6,0.013640,5.583235,23.468812,4.387711,6.423343,32768,16384,0.005957,0.003882,0.000000221,0.000000240
128,8,8,0.012323,5.275647,22.672875,4.019839,5.111220,32768,18432,0.006254,0.004736,0.000000203,0.000000218
128,8,10,0.013752,5.957119,25.271425,4.227065,5.470458,32768,22528,0.005582,0.005417,0.000000217,0.000000229
128,8,12,0.014642,5.657474,23.569675,4.013055,5.207596,32768,26624,0.005861,0.006721,0.000000231,0.000000245
128,8,14,0.012401,5.294976,22.910850,3.802884,4.946631,32768,30720,0.006216,0.008136,0.000000206,0.000000234
128,8,16,0.011991,5.324548,22.508550,3.802240,4.474100,32768,28672,0.006205,0.007589,0.000000237,0.000000257
128,8,18,0.012724,5.794559,23.857012,3.973509,4.721807,32768,31744,0.005784,0.008110,0.000000203,0.000000230
128,10,6,0.017084,5.505409,23.801725,3.943035,5.850656,32768,16384,0.006019,0.004197,0.000000241,0.000000263
128,10,8,0.014020,5.497343,23.234050,3.797368,4.911354,32768,18432,0.006044,0.004886,0.000000217,0.000000232
128,10,10,0.011460,5.339904,22.277250,3.922444,5.085215,32768,22528,0.006202,0.005794,0.000000215,0.000000228
128,10,12,0.013042,5.301375,22.176525,3.712760,4.838440,32768,26624,0.006236,0.007221,0.000000206,0.000000227
128,10,14,0.013952,5.454340,22.882562,3.754491,4.950667,32768,30720,0.006061,0.008248,0.000000199,0.000000234
128,10,16,0.013823,5.924736,25.257725,4.135548,4.853828,32768,28672,0.005623,0.007038,0.000000221,0.000000236
128,10,18,0.012035,5.217284,22.001400,3.652607,4.351060,32768,31744,0.006333,0.008718,0.000000227,0.000000255
128,12,6,0.015546,5.404671,23.538675,3.916923,5.819377,32768,16384,0.006099,0.004213,0.000000202,0.000000223
128,12,8,0.012324,5.448575,23.494025,3.856515,4.972157,32768,18432,0.006092,0.004846,0.000000216,0.000000227
