n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
128,2,6,0.014861,0.021372,24.512375,0.059396,0.507136,32768,14336,1.547251,0.243122,0.000000208,0.000000218
128,2,8,0.013337,0.022016,24.007313,0.060676,0.484868,32768,16384,1.492209,0.270950,0.000000205,0.000000225
128,2,10,0.012205,0.020224,21.651325,0.056448,0.476416,32768,18432,1.624227,0.327194,0.000000207,0.000000218
128,2,12,0.012076,0.021504,23.092850,0.060928,0.489728,32768,20480,1.537670,0.339934,0.000000214,0.000000228
128,2,14,0.012588,0.022528,22.956537,0.059904,0.503936,32768,22528,1.474815,0.380638,0.000000191,0.000000220
128,2,16,0.011639,0.020100,22.370162,0.056840,0.466172,32768,24576,1.642305,0.434661,0.000000209,0.000000238
128,2,18,0.013702,0.020736,23.966838,0.058116,0.501760,32768,26624,1.594694,0.461451,0.000000209,0.000000221
128,4,6,0.012516,0.021124,22.492800,0.097536,1.165568,32768,14336,1.561660,0.148596,0.000000215,0.000000232
128,4,8,0.012762,0.020864,23.594750,0.100224,1.149570,32768,18432,1.574300,0.185218,0.000000214,0.000000221
128,4,10,0.012932,0.021504,24.278900,0.102132,1.209856,32768,22528,1.537716,0.221967,0.000000207,0.000000220
128,4,12,0.013251,0.020996,22.905088,0.103044,1.177600,32768,26624,1.576372,0.261101,0.000000213,0.000000231
128,4,14,0.013652,0.021376,24.449025,0.102912,1.250944,32768,30720,1.544871,0.301152,0.000000211,0.000000227
128,4,16,0.011810,0.020604,22.011112,0.075648,0.680324,32768,28672,1.593631,0.379936,0.000000224,0.000000249
128,4,18,0.013731,0.021632,24.985337,0.081792,0.778880,32768,31744,1.520371,0.390406,0.000000220,0.000000245
128,6,6,0.014032,0.021508,23.680500,0.118024,1.902208,32768,16384,1.530919,0.139649,0.000000208,0.000000216
128,6,8,0.012531,0.020740,22.556800,0.097788,1.094528,32768,18432,1.584847,0.188801,0.000000211,0.000000231
128,6,10,0.012127,0.020096,22.613375,0.097408,1.160576,32768,22528,1.635620,0.232505,0.000000216,0.000000226
128,6,12,0.014988,0.021380,23.713650,0.100608,1.195136,32768,26624,1.546099,0.268023,0.000000220,0.000000249
128,6,14,0.013266,0.021244,23.972462,0.103024,1.229056,32768,30720,1.560156,0.301241,0.000000227,0.000000245
128,6,16,0.012002,0.021376,22.795650,0.077192,0.681344,32768,28672,1.536069,0.372567,0.000000249,0.000000269
128,6,18,0.013052,0.021504,24.061812,0.081276,0.762112,32768,31744,1.541471,0.394158,0.000000198,0.000000228
128,8,6,0.015604,0.021888,25.528975,0.123144,1.981567,32768,16384,1.510011,0.134477,0.000000195,0.000000233
128,8,8,0.013520,0.022276,25.011325,0.104580,1.186816,32768,18432,1.488630,0.178989,0.000000218,0.000000233
128,8,10,0.011619,0.020864,22.386813,0.097808,1.173375,32768,22528,1.582236,0.231704,0.000000229,0.000000241
128,8,12,0.016029,0.021504,25.128438,0.104832,1.238913,32768,26624,1.536965,0.256076,0.000000214,0.000000240
128,8,14,0.012616,0.021628,23.080063,0.105860,1.225084,32768,30720,1.521406,0.294852,0.000000210,0.000000239
128,8,16,0.013614,0.021632,24.824175,0.081664,0.745600,32768,28672,1.526271,0.355298,0.000000240,0.000000264
128,8,18,0.013498,0.021888,24.319125,0.082560,0.760448,32768,31744,1.523379,0.389786,0.000000220,0.000000246
128,10,6,0.014294,0.021500,23.749637,0.120708,1.927040,32768,16384,1.529750,0.136561,0.000000235,0.000000256
128,10,8,0.013502,0.021120,22.387975,0.101500,1.143936,32768,18432,1.556734,0.182845,0.000000217,0.000000224
128,10,10,0.012447,0.020992,23.264900,0.099324,1.143808,32768,22528,1.564640,0.226953,0.000000190,0.000000196
128,10,12,0.014651,0.021376,25.016575,0.100608,1.211771,32768,26624,1.540725,0.266470,0.000000213,0.000000242
128,10,14,0.014604,0.024316,26.028800,0.105204,1.259132,32768,30720,1.363165,0.294229,0.000000220,0.000000233
128,10,16,0.011997,0.021628,23.681150,0.078588,0.703872,32768,28672,1.525379,0.366981,0.000000215,0.000000242
128,10,18,0.013214,0.023040,24.075125,0.078968,0.739456,32768,31744,1.459765,0.403753,0.000000234,0.000000266
128,12,6,0.016172,0.022400,24.715150,0.121600,1.920384,32768,16384,1.474505,0.136113,0.000000212,0.000000229
128,12,8,0.013699,0.021632,24.745738,0.099592,1.171067,32768,18432,1.524811,0.186105,0.000000226,0.000000237
128,12,10,0.013785,0.022656,25.911175,0.109576,1.304446,32768,22528,1.459590,0.208468,0.000000195,0.000000232
128,12,12,0.014377,0.022268,24.138613,0.106752,1.249284,32768,26624,1.482881,0.250762,0.000000210,0.000000237
128,12,14,0.011961,0.020352,21.777663,0.094208,1.150079,32768,30720,1.611529,0.326258,0.000000212,0.000000229
128,12,16,0.012910,0.020988,23.896950,0.078852,0.697856,32768,28672,1.566204,0.364281,0.000000243,0.000000267
128,12,18,0.013142,0.021380,24.004350,0.082052,0.764416,32768,31744,1.549474,0.390778,0.000000220,0.000000239
256,2,6,0.064527,0.042628,49.500962,0.072832,0.582524,131072,45056,3.285840,0.664900,0.000000309,0.000000320
256,2,8,0.060108,0.035712,30.007675,0.058500,0.488700,131072,49152,3.691129,0.842436,0.000000277,0.000000282
256,2,10,0.059242,0.036480,30.109450,0.062072,0.509696,131072,53248,3.620656,0.877547,0.000000317,0.000000331
256,2,12,0.055681,0.035708,29.172225,0.059648,0.505216,131072,57344,3.686451,0.964948,0.000000313,0.000000322
256,2,14,0.062369,0.040064,30.889975,0.060032,0.506240,131072,61440,3.371363,1.034073,0.000000293,0.000000317
256,2,16,0.060106,0.038400,32.281975,0.060540,0.530428,131072,65536,3.443373,1.088237,0.000000284,0.000000294
256,2,18,0.062373,0.037500,31.553538,0.061180,0.512512,131072,69632,3.536835,1.143482,0.000000323,0.000000342
256,4,6,0.057832,0.036092,30.282013,0.102140,1.197440,131072,32768,3.676302,0.324359,0.000000297,0.000000301
